"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"1","Abies alba",220.223316159111,2.20223316159111,214.346292252212,2.14346292252212,218.558607920693,2.18558607920693,213.588953588566,2.13588953588566,26415.2621690523,264.152621690523,26275.6376560149,262.756376560149
"2","Abies balsamea",193.126707745842,1.93126707745842,90.3036372415872,0.903036372415872,193.126707745842,1.93126707745842,90.3036372415872,0.903036372415872,13612.8449779204,136.128449779204,11227.9262922833,112.279262922833
"3","Abies concolor",807.330680324393,8.07330680324393,224.964145289167,2.24964145289167,807.330680324393,8.07330680324393,224.964145289167,2.24964145289167,6520.11446410449,65.2011446410449,4555.97013162428,45.5597013162428
"4","Abies grandis",125.899229684088,1.25899229684088,125.278948285978,1.25278948285978,125.899229684088,1.25899229684088,125.278948285978,1.25278948285978,12685.2444842725,126.852444842725,12600.0855852632,126.000855852632
"5","Abies lasiocarpa",79.9495948333999,0.799495948333999,79.4461590851601,0.794461590851601,79.9495948333999,0.799495948333999,79.4461590851601,0.794461590851601,14610.6204385694,146.106204385694,14502.0937421405,145.020937421405
"6","Acer campestre",294.942409879806,2.94942409879806,287.035752528061,2.87035752528061,294.942409879806,2.94942409879806,287.035752528061,2.87035752528061,19563.1054022427,195.631054022427,19405.3545321847,194.053545321847
"7","Acer rubrum",165.971198759646,1.65971198759646,165.719065841984,1.65719065841984,165.971198759646,1.65971198759646,165.719065841984,1.65719065841984,59241.8247513033,592.418247513033,59058.9995996256,590.589995996256
"8","Acer saccharum",163.960750473222,1.63960750473222,165.614519567475,1.65614519567475,163.960750473222,1.63960750473222,165.614519567475,1.65614519567475,28730.9363471824,287.309363471824,29032.0791125557,290.320791125557
"9","Alnus glutinosa",340.17673196957,3.4017673196957,342.609306939999,3.4260930694,340.17673196957,3.4017673196957,342.609306939999,3.4260930694,15013.5857346186,150.135857346186,15124.6889786352,151.246889786352
"10","Alnus rubra",985.632856239489,9.85632856239489,467.236835247408,4.67236835247408,985.632856239489,9.85632856239489,467.236835247408,4.67236835247408,9466.12860087678,94.6612860087678,8053.21443365826,80.5321443365826
"11","Betula papyrifera",163.585394379726,1.63585394379726,117.737044675523,1.17737044675523,163.585394379726,1.63585394379726,117.737044675523,1.17737044675523,14647.0752419312,146.470752419312,12970.8586099029,129.708586099029
"12","Betula pendula",216.945354004162,2.16945354004162,172.444186690467,1.72444186690467,216.945354004162,2.16945354004162,172.444186690467,1.72444186690467,8141.34627204446,81.4134627204446,7858.4793365417,78.584793365417
"13","Carya alba",218.091131338589,2.18091131338589,169.182564407626,1.69182564407626,218.091131338589,2.18091131338589,169.182564407626,1.69182564407626,12094.5623360289,120.945623360289,11529.369316729,115.29369316729
"14","Carya glabra",190.228356993469,1.90228356993469,147.646743177811,1.47646743177811,190.228356993469,1.90228356993469,147.646743177811,1.47646743177811,16264.4659722179,162.644659722179,15225.6750320016,152.256750320016
"15","Castanea sativa",299.515704757837,2.99515704757837,299.263757409605,2.99263757409605,299.515704757837,2.99515704757837,299.263757409605,2.99263757409605,85108.8196472994,851.088196472994,85138.7314802004,851.387314802004
"16","Eucalyptus camaldulensis",175.19253210955,1.7519253210955,185.327562351176,1.85327562351176,175.19253210955,1.7519253210955,185.327562351176,1.85327562351176,12726.5980150671,127.265980150671,12903.82390339,129.0382390339
"17","Eucalyptus globulus",211.139374977989,2.11139374977989,211.244746288541,2.11244746288541,211.139374977989,2.11139374977989,211.244746288541,2.11244746288541,198788.3778575,1987.883778575,197401.253782341,1974.01253782341
"18","Fagus grandifolia",395.267543694733,3.95267543694733,211.923125308849,2.11923125308849,395.267543694733,3.95267543694733,211.923125308849,2.11923125308849,18388.7960226533,183.887960226533,16347.3973866447,163.473973866447
"19","Fagus sylvatica",302.025682790759,3.02025682790759,300.478235537856,3.00478235537856,322.589870397979,3.22589870397979,301.305730887146,3.01305730887146,376674.128576171,3766.74128576171,377854.166706063,3778.54166706063
"20","Fraxinus americana",207.042722152132,2.07042722152132,166.99505499117,1.6699505499117,207.042722152132,2.07042722152132,166.99505499117,1.6699505499117,18415.9418750553,184.159418750553,17671.8129399155,176.718129399155
"21","Fraxinus angustifolia",372.843425372596,3.72843425372596,366.027733865981,3.66027733865981,372.843425372596,3.72843425372596,366.027733865981,3.66027733865981,9431.87592687474,94.3187592687474,9434.14423834202,94.3414423834202
"22","Fraxinus nigra",172.809667240666,1.72809667240666,111.050180863432,1.11050180863432,172.809667240666,1.72809667240666,111.050180863432,1.11050180863432,13878.5468328347,138.785468328347,12575.8388180565,125.758388180565
"23","Fraxinus pennsylvanica",325.390865327202,3.25390865327202,200.232029919234,2.00232029919234,325.390865327202,3.25390865327202,200.232029919234,2.00232029919234,11560.7641380017,115.607641380017,10445.2408413608,104.452408413608
"24","Juniperus thurifera",212.912041263577,2.12912041263577,211.279203334461,2.11279203334461,212.912041263577,2.12912041263577,211.279203334461,2.11279203334461,12520.0433874817,125.200433874817,12492.9976245508,124.929976245508
"25","Juniperus virginiana",321.89205368045,3.2189205368045,139.104174021883,1.39104174021883,321.89205368045,3.2189205368045,139.104174021883,1.39104174021883,11024.9384416632,110.249384416632,8846.7714562877,88.467714562877
