"","species","total_RMSE_weighted","mean_RMSE_weighted","total_RMSE_no_weighted","mean_RMSE_no_weighted","total_AIC","mean_AIC"
"1","Abies alba",180.436496563953,1.80436496563953,179.694791275052,1.79694791275052,57343.9161430475,573.439161430475
"2","Abies balsamea",93.4899180049263,0.934899180049263,98.6687941193758,0.986687941193758,23018.5899438107,230.185899438107
"3","Abies concolor",83.8284403308644,0.838284403308644,83.8284403308644,0.838284403308644,3643.37465590226,36.4337465590226
"4","Abies grandis",121.009705458642,1.21009705458642,121.009705458642,1.21009705458642,10399.2784510647,103.992784510647
"5","Abies lasiocarpa",74.371049946551,0.74371049946551,74.371049946551,0.74371049946551,10884.5629762529,108.845629762529
"6","Acer campestre",302.532209706242,3.02532209706242,302.532209706242,3.02532209706242,11826.6160748291,118.266160748291
"7","Acer pseudoplatanus",258.574493386548,2.58574493386548,263.800634154918,2.63800634154918,25087.0231228573,250.870231228573
"8","Acer rubrum",176.453245483606,1.76453245483606,176.453245483606,1.76453245483606,41299.8149093537,412.998149093537
"9","Acer saccharum",193.320039075756,1.93320039075756,194.703486714997,1.94703486714997,11576.0029711395,115.760029711395
"10","Alnus glutinosa",332.536443203487,3.32536443203487,332.536443203487,3.32536443203487,20948.0300000649,209.480300000649
"11","Alnus rubra",206.804133865751,2.06804133865751,206.804133865751,2.06804133865751,8271.91864758137,82.7191864758137
"12","Arbutus unedo",263.950725529701,2.63950725529701,263.950725529701,2.63950725529701,11686.0221438489,116.860221438489
"13","Betula papyrifera",116.720998402865,1.16720998402865,116.720998402865,1.16720998402865,12945.5862893058,129.455862893058
"14","Betula pendula",172.914408736618,1.72914408736618,174.836375144385,1.74836375144385,39007.9471289283,390.079471289283
"15","Carpinus betulus",220.391077846819,2.20391077846819,220.391077846819,2.20391077846819,15197.9193176006,151.979193176006
"16","Carya alba",165.258323639905,1.65258323639905,165.258323639905,1.65258323639905,11230.5998211381,112.305998211381
"17","Carya glabra",156.126824071388,1.56126824071388,156.126824071388,1.56126824071388,10766.8357583868,107.668357583868
"18","Castanea sativa",309.589238071183,3.09589238071183,309.589238071183,3.09589238071183,96387.0988578956,963.870988578956
"19","Eucalyptus camaldulensis",173.375758728362,1.73375758728362,173.375758728362,1.73375758728362,20974.3328741375,209.743328741375
"20","Eucalyptus globulus",224.537854471264,2.24537854471264,224.537854471264,2.24537854471264,215444.037884946,2154.44037884946
"21","Fagus grandifolia",233.456525845197,2.33456525845197,233.456525845197,2.33456525845197,18118.1862935797,181.181862935797
"22","Fagus sylvatica",312.333861052934,3.12333861052934,322.462964098978,3.22462964098978,481048.641219596,4810.48641219596
"23","Fraxinus americana",166.924500408828,1.66924500408828,166.924500408828,1.66924500408828,19846.9959706826,198.469959706827
"24","Fraxinus angustifolia",377.620626478317,3.77620626478317,377.620626478317,3.77620626478317,11098.5997064062,110.985997064062
"25","Fraxinus excelsior",236.414514212149,2.36414514212149,237.729507813849,2.37729507813849,18047.7567672142,180.477567672142
"26","Fraxinus nigra",113.919756270492,1.13919756270492,113.919756270492,1.13919756270492,8921.26478690841,89.2126478690841
"27","Fraxinus pennsylvanica",202.249898425857,2.02249898425857,202.249898425857,2.02249898425857,7230.08549770331,72.3008549770331
"28","Juniperus thurifera",207.971805340133,2.07971805340133,207.971805340133,2.07971805340133,12149.1323119122,121.491323119122
"29","Juniperus virginiana",139.944216735302,1.39944216735302,139.944216735302,1.39944216735302,5533.5857587199,55.335857587199
"30","Larix decidua",166.44922922588,1.6644922922588,166.44922922588,1.6644922922588,5871.46814467863,58.7146814467863
"31","Liquidambar styraciflua",141.550524460684,1.41550524460684,141.550524460684,1.41550524460684,30616.7568879232,306.167568879232
"32","Liriodendron tulipifera",171.689103219049,1.71689103219049,171.689103219049,1.71689103219049,30084.3305918981,300.843305918981
