"","species","total_RMSE_weighted","mean_RMSE_weighted","total_RMSE_no_weighted","mean_RMSE_no_weighted","total_AIC","mean_AIC"
"1","Abies alba",427.747192796201,4.27747192796201,429.911379168918,4.29911379168918,2254597.16081153,22545.9716081153
"2","Abies amabilis",628.033139787022,6.28033139787022,628.876136036146,6.28876136036146,641963.240258743,6419.63240258743
"3","Abies balsamea",245.9044508409,2.459044508409,246.565319383171,2.46565319383171,2905902.77384226,29059.0277384226
"4","Abies concolor",608.719828474185,6.08719828474185,608.92551153875,6.0892551153875,1179070.29327025,11790.7029327025
"5","Abies grandis",539.212677374971,5.39212677374971,543.560796688917,5.43560796688917,1154990.36541732,11549.9036541732
"6","Abies lasiocarpa",417.002856790225,4.17002856790225,426.225658550436,4.26225658550436,1405700.41868345,14057.0041868345
"7","Abies magnifica",646.94774759085,6.4694774759085,659.706076569264,6.59706076569264,406673.335292505,4066.73335292505
"8","Acer campestre",386.846859888024,3.86846859888024,398.4752339788,3.984752339788,524859.905222369,5248.59905222369
"9","Acer negundo",371.777661146119,3.71777661146119,373.310748981256,3.73310748981256,408212.286547673,4082.12286547673
"10","Acer opalus",344.482377029654,3.44482377029654,367.984721335943,3.67984721335943,63671.0654089615,636.710654089615
"11","Acer pseudoplatanus",409.772291127829,4.09772291127829,450.905479709097,4.50905479709097,526708.686275764,5267.08686275764
"12","Acer rubrum",363.148862920269,3.63148862920269,364.028504681422,3.64028504681422,6513542.88533938,65135.4288533938
"13","Acer saccharinum",439.179774686471,4.39179774686471,439.53896122241,4.3953896122241,308633.904918178,3086.33904918178
"14","Acer saccharum",339.858383255307,3.39858383255307,340.256627610567,3.40256627610567,3523922.31418212,35239.2231418212
"15","Alnus glutinosa",435.541050813947,4.35541050813947,439.834495118091,4.39834495118091,592760.251250228,5927.60251250229
"16","Alnus rubra",521.910661602579,5.21910661602579,537.351958931872,5.37351958931872,509223.169670081,5092.23169670081
"17","Arbutus menziesii",457.256783815023,4.57256783815023,457.256783815023,4.57256783815023,201226.577376875,2012.26577376875
"18","Betula alleghaniensis",333.712413004938,3.33712413004938,338.761323448999,3.38761323448999,655370.883264728,6553.70883264728
"19","Betula lenta",359.73153338329,3.5973153338329,359.73153338329,3.5973153338329,686222.970266123,6862.22970266123
"20","Betula nigra",387.399195463726,3.87399195463726,387.399195463726,3.87399195463726,112548.722312523,1125.48722312523
"21","Betula papyrifera",322.700799298387,3.22700799298387,324.687315419205,3.24687315419205,1877517.85615662,18775.1785615662
"22","Betula pendula",375.096590143154,3.75096590143154,402.27958000207,4.0227958000207,1317174.45868971,13171.7445868971
"23","Betula pubescens",381.101167953054,3.81101167953054,380.711478236593,3.80711478236593,139309.833904487,1393.09833904487
"24","Calocedrus decurrens",540.11955838755,5.4011955838755,543.264179971353,5.43264179971353,463699.379278415,4636.99379278415
"25","Carpinus betulus",363.007968323031,3.63007968323031,392.896035178049,3.92896035178049,1560409.40824706,15604.0940824706
"26","Carpinus caroliniana",274.380477397332,2.74380477397332,274.380477397332,2.74380477397332,190758.695466937,1907.58695466937
"27","Carya alba",375.891377563048,3.75891377563048,375.891377563048,3.75891377563048,728659.581055231,7286.59581055231
"28","Carya cordiformis",407.368890425301,4.07368890425301,407.368890425301,4.07368890425301,501439.508023247,5014.39508023247
"29","Carya glabra",371.188545803747,3.71188545803747,371.188545803747,3.71188545803747,1007922.94013913,10079.2294013913
"30","Carya ovata",383.940260611835,3.83940260611835,383.940260611835,3.83940260611835,739444.712430176,7394.44712430176
"31","Carya texana",326.903354378177,3.26903354378177,326.903354378177,3.26903354378177,330969.329046453,3309.69329046453
"32","Castanea sativa",500.920526427594,5.00920526427594,502.636946545959,5.02636946545959,854365.420597912,8543.65420597912
"33","Celtis laevigata",405.883377707157,4.05883377707157,405.883377707157,4.05883377707157,316781.613180499,3167.81613180499
"34","Celtis occidentalis",360.577567415403,3.60577567415403,360.577567415403,3.60577567415403,334845.213311584,3348.45213311584
"35","Cornus florida",205.696419354275,2.05696419354275,205.696419354275,2.05696419354275,183926.765191219,1839.26765191219
"36","Crataegus monogyna",222.052397162752,2.22052397162752,234.991961086969,2.34991961086969,76124.325835766,761.24325835766
"37","Erica arborea",333.055958174025,3.33055958174025,333.055958174025,3.33055958174025,28560.3227994708,285.603227994708
"38","Eucalyptus globulus",494.732338971871,4.94732338971871,494.732338971871,4.94732338971871,928362.371708917,9283.62371708917
"39","Fagus grandifolia",407.855295009772,4.07855295009772,410.873979711792,4.10873979711792,1378884.78482785,13788.8478482785
"40","Fagus sylvatica",539.491278564285,5.39491278564285,580.003042609679,5.80003042609679,5370547.49838102,53705.4749838102
"41","Fraxinus americana",413.984246047729,4.13984246047729,417.189045122282,4.17189045122282,1426796.76155061,14267.9676155061
"42","Fraxinus angustifolia",505.651927680626,5.05651927680626,520.808044418678,5.20808044418678,76293.6668606896,762.936668606896
"43","Fraxinus excelsior",451.292602228846,4.51292602228846,489.57621937703,4.8957621937703,1555279.77412174,15552.7977412174
"44","Fraxinus nigra",323.290010947956,3.23290010947956,324.708573546261,3.24708573546261,814924.150954314,8149.24150954314
"45","Fraxinus pennsylvanica",462.312369387739,4.62312369387739,462.312369387739,4.62312369387739,1048452.44712343,10484.5244712343
"46","Gleditsia triacanthos",393.048138017976,3.93048138017977,393.048138017976,3.93048138017977,218696.919714784,2186.96919714784
"47","Gordonia lasianthus",311.018452584153,3.11018452584153,311.018452584153,3.11018452584153,53287.3093955024,532.873093955024
"48","Ilex opaca",253.06497063574,2.5306497063574,253.06497063574,2.5306497063574,117734.012601537,1177.34012601537
"49","Juglans nigra",402.044633733689,4.02044633733689,403.725716273867,4.03725716273866,647211.815959481,6472.11815959481
"50","Juniperus occidentalis",322.340038392322,3.22340038392322,322.340038392322,3.22340038392322,250322.253339326,2503.22253339326
"51","Juniperus thurifera",169.240164290449,1.69240164290449,169.240164290449,1.69240164290449,114800.787915841,1148.00787915841
