"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"1","Abies alba",406.36139194587,4.0636139194587,398.300106293807,3.98300106293807,412.308774435351,4.12308774435351,403.177579176586,4.03177579176586,2007265.79009359,20072.6579009359,1991934.67801239,19919.3467801239
"2","Abies amabilis",614.231979667616,6.14231979667616,592.525167065455,5.92525167065455,614.449490674964,6.14449490674964,592.767226328307,5.92767226328307,627221.589078756,6272.21589078756,621225.033946823,6212.25033946823
"3","Abies balsamea",236.16930186208,2.3616930186208,234.705129563144,2.34705129563144,236.303929322632,2.36303929322632,234.927588618505,2.34927588618505,2870238.46054635,28702.3846054635,2861806.64350737,28618.0664350737
"4","Abies concolor",559.388224730787,5.59388224730787,547.418903601171,5.47418903601171,559.388224730787,5.59388224730787,547.418903601171,5.47418903601171,1089126.98293816,10891.2698293816,1083477.60497023,10834.7760497023
"5","Abies grandis",507.023087888201,5.07023087888201,516.916092276206,5.16916092276206,508.472185516969,5.08472185516969,519.298865952768,5.19298865952768,1053213.17221464,10532.1317221464,1058697.21104812,10586.9721104812
"6","Abies lasiocarpa",400.888150754953,4.00888150754953,399.750953252802,3.99750953252802,402.484827309089,4.02484827309089,401.929777387761,4.01929777387761,1352157.85804568,13521.5785804568,1351487.6905774,13514.876905774
"7","Abies magnifica",609.575262020851,6.09575262020851,605.890637518668,6.05890637518668,609.575262020851,6.09575262020851,605.890637518668,6.05890637518668,364184.8472028,3641.848472028,363687.256125923,3636.87256125923
"8","Acer campestre",378.299585097131,3.78299585097131,378.058721586767,3.78058721586767,387.303894975181,3.87303894975181,388.116795191952,3.88116795191952,508510.11521899,5085.1011521899,508345.954914984,5083.45954914984
"9","Acer negundo",362.796697027973,3.62796697027973,364.95386031206,3.6495386031206,362.98637797049,3.6298637797049,365.17193433528,3.6517193433528,441890.508183966,4418.90508183966,442948.611456532,4429.48611456532
"10","Acer opalus",331.443465443005,3.31443465443005,326.059115167463,3.26059115167463,332.234030413232,3.32234030413232,326.005043362924,3.26005043362924,67017.750046553,670.17750046553,67004.6197780185,670.046197780185
"11","Acer pseudoplatanus",388.069842139738,3.88069842139738,383.785926047358,3.83785926047358,399.820276905105,3.99820276905105,393.006826678344,3.93006826678344,621877.176931,6218.77176931,619684.53546066,6196.8453546066
"12","Acer rubrum",345.110920298948,3.45110920298948,341.738157524754,3.41738157524754,347.358200356202,3.47358200356202,342.860812978834,3.42860812978834,6669379.36356506,66693.7936356506,6639389.63617685,66393.8963617684
"13","Acer saccharinum",429.661095547625,4.29661095547625,435.482278637389,4.35482278637389,429.79609776864,4.2979609776864,435.617266279274,4.35617266279274,308287.165790176,3082.87165790176,309497.003795053,3094.97003795053
"14","Acer saccharum",326.396380710822,3.26396380710822,322.511094507775,3.22511094507775,329.558413656323,3.29558413656323,326.226038636339,3.26226038636339,4139390.97185003,41393.9097185003,4118953.54595115,41189.5354595115
"15","Alnus glutinosa",431.016116282119,4.31016116282119,431.750971440494,4.31750971440494,435.07814637736,4.3507814637736,436.113398841536,4.36113398841536,677080.518209197,6770.80518209197,676896.128215707,6768.96128215707
"16","Alnus rubra",520.237137125983,5.20237137125983,520.185300817546,5.20185300817546,520.237137125983,5.20237137125983,520.185300817546,5.20185300817546,472938.043366184,4729.38043366184,472433.780950854,4724.33780950854
"17","Arbutus menziesii",430.911969516798,4.30911969516798,429.063162141723,4.29063162141723,430.911969516798,4.30911969516798,429.063162141723,4.29063162141723,210221.401101411,2102.21401101411,209784.58292016,2097.8458292016
"18","Arbutus unedo",188.59444385473,1.8859444385473,183.128397506289,1.83128397506289,188.455542268967,1.88455542268967,183.456820430365,1.83456820430365,32488.8787135908,324.888787135908,32769.6034333513,327.696034333513
"19","Betula alleghaniensis",315.43863807019,3.1543863807019,308.541075789335,3.08541075789335,315.946078622912,3.15946078622912,309.124116735464,3.09124116735464,1214332.49882924,12143.3249882924,1203669.62477776,12036.6962477776
"20","Betula lenta",351.61200941873,3.5161200941873,348.173579966296,3.48173579966296,351.61200941873,3.5161200941873,348.173579966296,3.48173579966296,744834.664073689,7448.34664073689,741996.309303874,7419.96309303874
"21","Betula nigra",357.246518287534,3.57246518287534,360.68381468431,3.6068381468431,357.246518287534,3.57246518287534,360.68381468431,3.6068381468431,106699.81504364,1066.9981504364,107095.650129465,1070.95650129465
"22","Betula papyrifera",308.428787125506,3.08428787125506,304.426920415269,3.04426920415269,309.854585967148,3.09854585967148,305.49922920643,3.0549922920643,2017417.81125062,20174.1781125062,2008866.02629061,20088.6602629061
"23","Betula pendula",346.105735840737,3.46105735840737,345.218268707293,3.45218268707293,348.441262194691,3.48441262194691,348.353945535823,3.48353945535823,1304753.5205135,13047.535205135,1302495.10248256,13024.9510248256
"24","Betula pubescens",398.01724459832,3.9801724459832,401.393489680813,4.01393489680813,398.305774928969,3.98305774928969,401.659628134213,4.01659628134213,114314.141439589,1143.14141439589,113729.044898855,1137.29044898855
"25","Calocedrus decurrens",490.639255277306,4.90639255277306,489.414807271493,4.89414807271493,490.639255277306,4.90639255277306,489.414807271493,4.89414807271493,474723.776616986,4747.23776616986,474827.595515155,4748.27595515155
"26","Carpinus betulus",354.936261160812,3.54936261160812,353.234981644902,3.53234981644902,358.208907575375,3.58208907575375,355.980838311743,3.55980838311743,1845220.80117862,18452.2080117862,1842156.73781436,18421.5673781436
