"","species","total_RMSE_weighted","mean_RMSE_weighted","total_RMSE_no_weighted","mean_RMSE_no_weighted","total_AIC","mean_AIC"
"1","Abies alba",434.322597685796,4.34322597685796,434.568334351152,4.34568334351152,2276346.78433013,22763.4678433013
"2","Abies amabilis",649.157778656597,6.49157778656597,650.365109357935,6.50365109357935,650117.801093383,6501.17801093383
"3","Abies balsamea",247.648749199679,2.47648749199679,248.068029028698,2.48068029028698,2912676.83303856,29126.7683303856
"4","Abies concolor",608.780006959896,6.08780006959896,611.195261482676,6.11195261482676,1182032.32771344,11820.3232771344
"5","Abies grandis",550.005381317951,5.50005381317951,552.132112949081,5.52132112949081,1165795.59957872,11657.9559957872
"6","Abies lasiocarpa",424.101172234783,4.24101172234783,431.874505489488,4.31874505489488,1413352.24118824,14133.5224118824
"7","Abies magnifica",663.553622681589,6.63553622681589,697.13891269434,6.9713891269434,410922.279382572,4109.22279382572
"8","Acer campestre",391.646953881955,3.91646953881955,404.002846801403,4.04002846801403,525605.971107003,5256.05971107003
"9","Acer negundo",372.92036856112,3.7292036856112,373.565201152422,3.73565201152422,408169.607629748,4081.69607629748
"10","Acer opalus",345.603246819463,3.45603246819463,360.778911291778,3.60778911291778,63469.2976926448,634.692976926448
"11","Acer pseudoplatanus",412.162591615004,4.12162591615004,450.00696241957,4.5000696241957,527753.032374388,5277.53032374388
"12","Acer rubrum",363.68777080283,3.6368777080283,364.682035706394,3.64682035706394,6520420.31547216,65204.2031547216
"13","Acer saccharinum",446.700432209408,4.46700432209408,447.055045923605,4.47055045923605,309611.962746639,3096.11962746639
"14","Acer saccharum",342.031529433465,3.42031529433465,342.228123793223,3.42228123793223,3538168.9538713,35381.689538713
"15","Alnus glutinosa",438.479922269725,4.38479922269725,443.7894088477,4.437894088477,595036.123280482,5950.36123280482
"16","Alnus incana",562.97172462573,5.6297172462573,562.97172462573,5.6297172462573,6271.92615449186,62.7192615449186
"17","Alnus rubra",524.22219523925,5.2422219523925,537.697077628375,5.37697077628375,509971.978118073,5099.71978118073
"18","Arbutus menziesii",455.982854759028,4.55982854759028,455.982854759028,4.55982854759028,202439.638846181,2024.39638846181
"19","Arbutus unedo",256.114581146812,2.56114581146812,225.907969646525,2.25907969646525,25337.5323581806,253.375323581806
"20","Betula alleghaniensis",336.10073098876,3.3610073098876,338.454110192643,3.38454110192643,656924.120272799,6569.24120272799
"21","Betula lenta",361.608901601345,3.61608901601345,361.608901601345,3.61608901601345,688489.552811236,6884.89552811236
"22","Betula nigra",391.121599555595,3.91121599555595,391.121599555595,3.91121599555595,112548.740966134,1125.48740966134
"23","Betula papyrifera",323.121292082323,3.23121292082323,324.282145992798,3.24282145992798,1881261.5251553,18812.615251553
"24","Betula pendula",375.321023898737,3.75321023898737,401.337512821564,4.01337512821564,1321813.30639211,13218.1330639211
"25","Betula pubescens",378.033603959385,3.78033603959385,378.699368516298,3.78699368516298,139124.172178326,1391.24172178326
"26","Calocedrus decurrens",545.450378728741,5.45450378728741,548.836101286042,5.48836101286042,465030.090470494,4650.30090470494
"27","Carpinus betulus",364.984793686643,3.64984793686643,393.425197551009,3.93425197551009,1562399.15500487,15623.9915500487
"28","Carpinus caroliniana",275.081969984706,2.75081969984706,275.081969984706,2.75081969984706,190624.154244993,1906.24154244993
"29","Carya alba",378.908506083801,3.78908506083801,378.908506083801,3.78908506083801,729455.06979343,7294.5506979343
"30","Carya cordiformis",411.355796612355,4.11355796612355,411.355796612355,4.11355796612355,503266.784962876,5032.66784962876
"31","Carya glabra",378.531163096458,3.78531163096459,378.531163096458,3.78531163096459,1015200.16190858,10152.0016190858
"32","Carya ovata",388.072128976847,3.88072128976847,388.072128976847,3.88072128976847,742882.780608403,7428.82780608403
"33","Carya texana",325.656674053288,3.25656674053288,325.656674053288,3.25656674053288,331397.500871644,3313.97500871644
"34","Castanea sativa",521.923671572505,5.21923671572505,524.386059063826,5.24386059063826,866777.440249152,8667.77440249152
"35","Celtis laevigata",408.801080032113,4.08801080032113,408.801080032113,4.08801080032113,316737.837305656,3167.37837305656
"36","Celtis occidentalis",362.715295188212,3.62715295188212,362.715295188212,3.62715295188212,335168.017694295,3351.68017694295
"37","Cornus florida",209.202756486766,2.09202756486766,209.202756486766,2.09202756486766,183418.4508751,1834.184508751
"38","Corylus avellana",350.993617465153,3.50993617465153,384.314515435928,3.84314515435928,62786.0320802269,627.860320802269
"39","Crataegus monogyna",212.980452458481,2.12980452458481,214.861433365722,2.14861433365722,75022.1115373397,750.221115373397
"40","Diospyros virginiana",379.987062787563,3.79987062787563,379.987062787563,3.79987062787563,153937.975434865,1539.37975434865
"41","Erica arborea",329.937270928457,3.29937270928457,329.937270928457,3.29937270928457,28381.7841207825,283.817841207825
"42","Eucalyptus camaldulensis",446.2990582658,4.462990582658,446.2990582658,4.462990582658,50643.7990409983,506.437990409983
"43","Eucalyptus globulus",499.08735485206,4.9908735485206,499.08735485206,4.9908735485206,933792.906474359,9337.92906474359
"44","Fagus grandifolia",409.444737526088,4.09444737526088,412.418250541522,4.12418250541522,1378671.20094514,13786.7120094514
"45","Fagus sylvatica",544.197344519804,5.44197344519804,583.726125467252,5.83726125467252,5392126.38296236,53921.2638296236
"46","Fraxinus americana",414.980272614767,4.14980272614767,417.382149746978,4.17382149746978,1429222.18321195,14292.2218321195
"47","Fraxinus angustifolia",507.478113878104,5.07478113878104,520.96847598133,5.2096847598133,76747.7570155415,767.477570155415
"48","Fraxinus excelsior",454.696987307339,4.54696987307339,482.604225404577,4.82604225404577,1562869.44016771,15628.6944016771
"49","Fraxinus nigra",324.540553732438,3.24540553732438,325.639072118218,3.25639072118218,814815.425257302,8148.15425257302
"50","Fraxinus pennsylvanica",467.304562506514,4.67304562506514,467.304562506514,4.67304562506514,1049248.92932197,10492.4892932197
"51","Gleditsia triacanthos",390.769872269186,3.90769872269186,390.769872269186,3.90769872269186,218703.670298076,2187.03670298076
"52","Gordonia lasianthus",313.409303480053,3.13409303480053,313.409303480053,3.13409303480053,52898.2468817563,528.982468817563
"53","Ilex aquifolium",270.457006140888,2.70457006140888,278.760941856624,2.78760941856624,29964.773536119,299.64773536119
"54","Ilex opaca",251.298959365355,2.51298959365355,251.298959365355,2.51298959365355,117592.988918723,1175.92988918723
"55","Juglans nigra",406.599248348963,4.06599248348963,408.762185615695,4.08762185615695,649439.822535104,6494.39822535104
"56","Juniperus occidentalis",323.051454479345,3.23051454479345,323.051454479345,3.23051454479345,251484.851230009,2514.84851230009
"57","Juniperus thurifera",171.046159384856,1.71046159384856,171.046159384856,1.71046159384856,115376.62262316,1153.7662262316
"58","Juniperus virginiana",263.509422274333,2.63509422274333,263.622139509998,2.63622139509998,1180926.68159388,11809.2668159388
"59","Larix decidua",529.341328933979,5.29341328933979,558.625124324095,5.58625124324095,365771.203537958,3657.71203537958
"60","Larix kaempferi",778.175689462095,7.78175689462095,790.002807525454,7.90002807525454,41775.5789844928,417.755789844928
"61","Larix laricina",288.546946592096,2.88546946592096,289.405627222083,2.89405627222083,543018.376966908,5430.18376966908
"62","Larix occidentalis",501.330534373461,5.01330534373461,501.330534373461,5.01330534373461,617514.430381876,6175.14430381876
"63","Liquidambar styraciflua",386.810950097522,3.86810950097522,391.442057623081,3.91442057623081,2198784.814915,21987.84814915
"64","Liriodendron tulipifera",412.635131300204,4.12635131300204,412.690818883281,4.12690818883281,2477888.91357228,24778.8891357228
"65","Maclura pomifera",259.089036070028,2.59089036070028,259.089036070028,2.59089036070028,106406.431900535,1064.06431900535
"66","Magnolia virginiana",368.36005415827,3.6836005415827,368.36005415827,3.6836005415827,276905.613253798,2769.05613253798
"67","Morus rubra",333.797400042914,3.33797400042914,333.797400042914,3.33797400042914,133318.049650293,1333.18049650293
"68","Myrica faya",348.655592012844,3.48655592012844,348.655592012844,3.48655592012844,27723.5550724829,277.235550724829
"69","Notholithocarpus densiflorus",476.829756289467,4.76829756289467,476.829756289467,4.76829756289467,303754.52647564,3037.5452647564
"70","Nyssa aquatica",495.733669881597,4.95733669881597,495.733669881597,4.95733669881597,140886.898063035,1408.86898063035
"71","Nyssa sylvatica",380.554502705557,3.80554502705557,381.887264086619,3.81887264086619,1430185.32942878,14301.8532942878
"72","Olea europaea",202.504829070385,2.02504829070385,217.760579244989,2.17760579244989,43265.4587366184,432.654587366184
"73","Ostrya virginiana",277.646720071531,2.77646720071531,289.246521482875,2.89246521482875,345205.898684331,3452.05898684331
"74","Oxydendrum arboreum",316.104451457434,3.16104451457434,316.104451457434,3.16104451457434,520976.527333024,5209.76527333024
"75","Picea",532.214033918176,5.32214033918176,532.214033918176,5.32214033918176,67104.4718350039,671.044718350039
"76","Picea abies",448.717197104919,4.48717197104919,451.460344829315,4.51460344829315,3608881.97758683,36088.8197758683
"77","Picea engelmannii",480.964897971361,4.80964897971361,498.97479362125,4.9897479362125,1281163.7580657,12811.637580657
"78","Picea glauca",297.871942798392,2.97871942798392,304.453940017388,3.04453940017388,811823.607447486,8118.23607447486
"79","Picea mariana",235.79264438329,2.3579264438329,237.385098000281,2.37385098000281,1709803.08716149,17098.0308716149
"80","Picea rubens",273.987040508953,2.73987040508953,278.709121169431,2.78709121169431,739541.787039583,7395.41787039583
"81","Picea sitchensis",688.624181293454,6.88624181293454,711.257254671999,7.11257254671999,388786.352029044,3887.86352029044
"82","Pinus albicaulis",391.928081516019,3.91928081516019,391.928081516019,3.91928081516019,177195.689205903,1771.95689205903
"83","Pinus banksiana",324.24592387825,3.2424592387825,329.326029266595,3.29326029266595,773198.731912254,7731.98731912254
"84","Pinus canariensis",439.797525103238,4.39797525103238,459.920947008706,4.59920947008706,466209.348217506,4662.09348217506
"85","Pinus clausa",314.376671585939,3.14376671585939,373.656047515885,3.73656047515885,66736.2011134,667.362011134
"86","Pinus contorta",520.861692384052,5.20861692384052,586.744017870476,5.86744017870476,631014.832677505,6310.14832677505
"87","Pinus echinata",397.693995484174,3.97693995484174,399.354302228263,3.99354302228263,1547554.12282276,15475.5412282276
"88","Pinus elliottii",344.259776144226,3.44259776144226,345.202552159563,3.45202552159563,1413143.39342441,14131.4339342441
"89","Pinus halepensis",285.548394610376,2.85548394610376,301.11466156803,3.0111466156803,1942245.25679436,19422.4525679436
"90","Pinus jeffreyi",561.968670915606,5.61968670915606,561.968670915606,5.61968670915606,313675.284890137,3136.75284890137
"91","Pinus nigra",426.492799545151,4.26492799545151,433.53201306641,4.3353201306641,1673878.66513634,16738.7866513634
"92","Pinus palustris",363.972570339205,3.63972570339205,364.106987483477,3.64106987483477,119684.863641311,1196.84863641311
"93","Pinus pinaster",427.676028002766,4.27676028002766,435.646455980968,4.35646455980968,5881872.67519198,58818.7267519198
"94","Pinus pinea",242.577783452334,2.42577783452334,249.149417344374,2.49149417344374,641657.156844991,6416.57156844991
"95","Pinus ponderosa",497.041340663752,4.97041340663752,503.097065299254,5.03097065299254,3965845.9099731,39658.459099731
"96","Pinus radiata",477.189825747495,4.77189825747495,487.564475783956,4.87564475783956,1201758.78583012,12017.5878583012
"97","Pinus resinosa",374.693202077102,3.74693202077102,383.726497815274,3.83726497815274,1028371.8153755,10283.718153755
"98","Pinus rigida",339.175934578688,3.39175934578688,341.35624149012,3.4135624149012,480686.889073177,4806.86889073177
"99","Pinus serotina",370.334275961614,3.70334275961614,370.605065774148,3.70605065774148,165741.634601416,1657.41634601416
"100","Pinus strobus",412.118345392565,4.12118345392565,416.97687673786,4.1697687673786,1807674.9614303,18076.749614303
"101","Pinus sylvestris",493.904116164976,4.93904116164976,614.857768683407,6.14857768683407,7327029.82942293,73270.2982942293
