"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"1","Abies alba",20.0202349311396,0.200202349311396,20.0017420620513,0.200017420620513,20.1738877062286,0.201738877062286,20.1516296121405,0.201516296121405,-5686.00463349815,-56.8600463349815,-5816.76600293619,-58.1676600293619
"2","Abies amabilis",17.8068724044876,0.178068724044876,17.941393252088,0.17941393252088,17.8165035382924,0.178165035382924,17.9507275479582,0.179507275479582,-59827.7838534223,-598.277838534222,-58636.5786370087,-586.365786370087
"3","Abies balsamea",18.3281420603325,0.183281420603325,18.7014954988254,0.187014954988254,21.223990884482,0.21223990884482,21.2986224690718,0.212986224690718,-277864.447605574,-2778.64447605574,-256750.366551391,-2567.50366551391
"4","Abies concolor",18.4518615166901,0.184518615166901,18.6899073638787,0.186899073638787,22.7801780574539,0.227801780574539,22.3992889100628,0.223992889100628,-106946.670107429,-1069.46670107429,-101829.73336156,-1018.2973336156
"5","Abies grandis",18.3079596699679,0.183079596699679,18.6404706558369,0.186404706558369,19.0063977453903,0.190063977453903,19.1600113850194,0.191600113850194,-104087.208948231,-1040.87208948231,-96898.0577289646,-968.980577289646
"6","Abies lasiocarpa",19.0701007000451,0.190701007000451,19.1347988469971,0.191347988469971,21.1626454299323,0.211626454299323,20.9543673354169,0.209543673354169,-145530.395041487,-1455.30395041487,-142560.90294444,-1425.6090294444
"7","Abies magnifica",17.9533235919022,0.179533235919022,18.2252723696222,0.182252723696222,17.9974958476179,0.179974958476179,18.2673323776692,0.182673323776692,-35874.1501347914,-358.741501347914,-34034.404310316,-340.34404310316
"8","Acer negundo",16.7289467210095,0.167289467210095,16.7412407364628,0.167412407364628,19.4001966338082,0.194001966338082,19.3805642543012,0.193805642543012,-58321.3380758348,-583.213380758348,-58177.357114823,-581.77357114823
"9","Acer pseudoplatanus",18.7677491510358,0.187677491510358,18.7179841834331,0.187179841834331,18.7677491510358,0.187677491510358,18.7179841834331,0.187179841834331,-1753.34751074212,-17.5334751074212,-1941.71005770209,-19.4171005770209
"10","Acer rubrum",11.8665014122653,0.118665014122653,11.8943569091907,0.118943569091907,14.1772296000672,0.141772296000672,14.1029863842525,0.141029863842525,-1775264.98156802,-17752.6498156802,-1769384.83906134,-17693.8483906134
"11","Acer saccharinum",13.494132864149,0.13494132864149,13.5136347440176,0.135136347440176,13.5629146896283,0.135629146896283,13.5824187640941,0.135824187640941,-61921.2644147007,-619.212644147007,-61796.8377206403,-617.968377206403
"12","Acer saccharum",11.972364207717,0.11972364207717,12.0272952665511,0.120272952665511,14.9671738604234,0.149671738604234,14.9620977199143,0.149620977199143,-1057002.71313284,-10570.0271313284,-1047137.87564823,-10471.3787564823
"13","Alnus rubra",15.8211024313783,0.158211024313783,15.8556858004544,0.158556858004544,16.6497793922592,0.166497793922592,16.289955097908,0.16289955097908,-68844.7117315733,-688.447117315733,-67732.6433395112,-677.326433395112
"14","Arbutus menziesii",14.9140438712132,0.149140438712132,14.9127803766583,0.149127803766583,14.9140438712132,0.149140438712132,14.9127803766583,0.149127803766583,-36821.7058348509,-368.217058348509,-36726.3455468315,-367.263455468315
"15","Betula alleghaniensis",12.3322843696024,0.123322843696024,12.3078813581119,0.123078813581119,14.222755837483,0.14222755837483,14.1406709838525,0.141406709838525,-277571.026693543,-2775.71026693543,-278249.796462608,-2782.49796462608
"16","Betula lenta",11.6352457393401,0.116352457393401,11.6795852179202,0.116795852179202,14.8133605839831,0.148133605839831,14.8472700128851,0.148472700128851,-210588.436415213,-2105.88436415213,-209597.263269169,-2095.97263269169
"17","Betula nigra",12.5180787188359,0.125180787188359,12.5076654180108,0.125076654180108,12.5180787188359,0.125180787188359,12.5076654180108,0.125076654180108,-26168.6933434475,-261.686933434475,-26123.7935253016,-261.237935253016
"18","Betula papyrifera",12.7106894346936,0.127106894346936,12.7932169116047,0.127932169116047,15.7829023059949,0.157829023059949,15.6952554833588,0.156952554833588,-416670.447439476,-4166.70447439476,-412206.097409563,-4122.06097409563
"19","Betula pendula",15.8207714407996,0.158207714407996,15.5582112200668,0.155582112200668,15.8207714407996,0.158207714407996,15.5582112200668,0.155582112200668,-3608.12546574201,-36.0812546574201,-3634.17518689139,-36.3417518689139
"20","Calocedrus decurrens",18.4397617548096,0.184397617548096,18.4575625390793,0.184575625390793,18.4397617548096,0.184397617548096,18.4575625390793,0.184575625390793,-47235.800350945,-472.35800350945,-47062.002507149,-470.62002507149
"21","Carpinus betulus",21.8103185776262,0.218103185776262,21.8785993346306,0.218785993346306,21.8103185776262,0.218103185776262,21.8785993346306,0.218785993346306,-1135.09238674297,-11.3509238674297,-1103.02047714983,-11.0302047714983
"22","Carpinus caroliniana",14.8844162869807,0.148844162869807,14.8786538080614,0.148786538080614,15.0735278175332,0.150735278175332,15.0663264768608,0.150663264768608,-32905.1959068833,-329.051959068833,-32859.4837434819,-328.594837434819
"23","Carya alba",12.2030126567371,0.122030126567371,12.2166807397753,0.122166807397753,15.1249281851535,0.151249281851535,15.1386204208089,0.151386204208089,-218066.788010659,-2180.66788010659,-217832.722214645,-2178.32722214645
"24","Carya cordiformis",11.2468486906758,0.112468486906758,11.2872894566356,0.112872894566356,14.4148875815983,0.144148875815983,14.4895820519947,0.144895820519947,-133535.630537126,-1335.35630537126,-133255.472844142,-1332.55472844142
"25","Carya glabra",11.8390233616215,0.118390233616215,11.8519488610419,0.118519488610419,13.6624181487812,0.136624181487812,13.6198432992082,0.136198432992082,-324444.472843966,-3244.44472843966,-324067.402967887,-3240.67402967887
"26","Carya ovata",12.3095691885068,0.123095691885068,12.3493361415032,0.123493361415032,17.0181614654697,0.170181614654697,17.112722618486,0.17112722618486,-201479.656288924,-2014.79656288924,-200112.695047576,-2001.12695047576
"27","Carya texana",13.0818395104981,0.130818395104981,13.0649319981888,0.130649319981888,13.1235458017547,0.131235458017547,13.1104400117559,0.131104400117559,-56831.8630242099,-568.318630242099,-57060.6988234052,-570.606988234053
"28","Celtis laevigata",12.1330130932024,0.121330130932024,12.1681472599474,0.121681472599474,12.1330130932024,0.121330130932024,12.1681472599474,0.121681472599474,-64530.525699237,-645.30525699237,-64330.9197164894,-643.309197164894
"29","Celtis occidentalis",11.8183254230215,0.118183254230215,11.8666220272436,0.118666220272436,12.9597143269133,0.129597143269133,12.9389158450294,0.129389158450294,-106754.435808493,-1067.54435808493,-105961.964169018,-1059.61964169018
"30","Cornus florida",13.6123123839985,0.136123123839985,13.5991135174543,0.135991135174543,14.8785234185798,0.148785234185798,14.8883264216744,0.148883264216744,-40502.9934911457,-405.029934911457,-40540.701002599,-405.40701002599
"31","Diospyros virginiana",11.2747910904709,0.112747910904709,11.278965479297,0.11278965479297,11.2747910904709,0.112747910904709,11.278965479297,0.11278965479297,-40079.0568297701,-400.790568297701,-40079.4660033177,-400.794660033177
"32","Fagus grandifolia",17.1851250842975,0.171851250842975,17.2958899572281,0.172958899572281,22.8277398927525,0.228277398927525,22.6133226553569,0.226133226553569,-181735.156073161,-1817.35156073161,-177741.500884754,-1777.41500884754
"33","Fagus sylvatica",17.9182357092337,0.179182357092337,17.8767485758444,0.178767485758444,18.1595621712721,0.181595621712721,18.0517809922023,0.180517809922023,-16968.919933904,-169.68919933904,-16986.0268412446,-169.860268412446
"34","Fraxinus americana",11.3737421151281,0.113737421151281,11.3227529965223,0.113227529965223,12.8290697538253,0.128290697538253,12.8520947531131,0.128520947531131,-414305.653116492,-4143.05653116492,-417132.197362925,-4171.32197362925
"35","Fraxinus nigra",12.0530775168758,0.120530775168758,12.0937249876197,0.120937249876197,13.3045480135688,0.133045480135688,13.3071380687742,0.133071380687742,-210456.237114991,-2104.56237114991,-209896.126079154,-2098.96126079154
"36","Fraxinus pennsylvanica",12.2972324025988,0.122972324025988,12.3428821907688,0.123428821907688,13.0481484183336,0.130481484183336,13.0183748268055,0.130183748268055,-245533.132792565,-2455.33132792565,-244713.398839607,-2447.13398839607
"37","Gleditsia triacanthos",12.8704473234694,0.128704473234694,12.9331523659798,0.129331523659798,12.8704473234694,0.128704473234694,12.9331523659798,0.129331523659798,-42040.39436155,-420.4039436155,-41614.9489222611,-416.149489222611
"38","Gordonia lasianthus",13.8374222211988,0.138374222211988,13.9523158970081,0.139523158970081,13.8374222211988,0.138374222211988,13.9523158970081,0.139523158970081,-10938.6883727751,-109.386883727751,-10836.6531663841,-108.366531663841
"39","Ilex opaca",17.2575301288459,0.172575301288459,17.2523102401392,0.172523102401392,17.7099941047139,0.177099941047139,17.699238151722,0.17699238151722,-15876.728370121,-158.76728370121,-15875.7496567701,-158.757496567701
"40","Juglans nigra",12.3015599678919,0.123015599678919,12.337907971545,0.12337907971545,13.4489417227596,0.134489417227596,13.4422532543984,0.134422532543984,-174713.682319078,-1747.13682319078,-173893.543005188,-1738.93543005188
"41","Juniperus occidentalis",21.2290367336038,0.212290367336038,21.2215392314957,0.212215392314957,21.2290367336038,0.212290367336038,21.2215392314957,0.212215392314957,-20295.4115578577,-202.954115578578,-19922.8095738779,-199.228095738779
"42","Juniperus virginiana",19.5824002891589,0.195824002891589,19.7529166813559,0.197529166813559,23.9874137830112,0.239874137830112,23.7112082453746,0.237112082453746,-111418.249663283,-1114.18249663283,-106529.840698918,-1065.29840698918
