"","species","total_RMSE_weighted","mean_RMSE_weighted","total_RMSE_no_weighted","mean_RMSE_no_weighted","total_AIC","mean_AIC"
"1","Abies alba",19.7696442924527,0.197696442924527,19.879269032637,0.19879269032637,-9724.07364118886,-97.2407364118886
"2","Abies amabilis",18.8037734560148,0.188037734560148,18.8296794420826,0.188296794420826,-52193.0899330147,-521.930899330147
"3","Abies balsamea",19.5076644578111,0.195076644578111,21.9603521783832,0.219603521783832,-209996.731603154,-2099.96731603154
"4","Abies concolor",19.6352652762961,0.196352652762961,22.6596270286407,0.226596270286407,-86925.9899372427,-869.259899372427
"5","Abies grandis",19.4533921932036,0.194533921932036,20.5535141889196,0.205535141889196,-94753.9798391218,-947.539798391218
"6","Abies lasiocarpa",19.3795621507038,0.193795621507038,20.5395649151119,0.205395649151119,-137502.370701206,-1375.02370701206
"7","Abies magnifica",18.6520677915641,0.186520677915641,18.6520677915641,0.186520677915641,-34065.496915859,-340.65496915859
"8","Acer negundo",16.636456740618,0.16636456740618,18.640011395521,0.18640011395521,-53083.7068228117,-530.837068228117
"9","Acer pseudoplatanus",17.127584438423,0.17127584438423,17.1564059620511,0.171564059620511,-5475.22684323308,-54.7522684323308
"10","Acer rubrum",12.1877942363643,0.121877942363643,14.0998937330472,0.140998937330472,-1613419.88549001,-16134.1988549001
"11","Acer saccharinum",13.5872605233205,0.135872605233205,13.5872605233205,0.135872605233205,-49507.6430684453,-495.076430684453
"12","Acer saccharum",12.2552015653905,0.122552015653905,15.0544383829216,0.150544383829216,-881826.495825022,-8818.26495825022
"13","Alnus rubra",16.2520442744032,0.162520442744031,16.385047555442,0.16385047555442,-60520.0779023791,-605.200779023791
"14","Arbutus menziesii",15.2946711230784,0.152946711230784,15.2946711230784,0.152946711230784,-32722.8393281595,-327.228393281595
"15","Betula alleghaniensis",12.6558754443594,0.126558754443594,14.1129456662837,0.141129456662837,-219872.834567226,-2198.72834567226
"16","Betula lenta",11.6847386241388,0.116847386241388,14.8221918768168,0.148221918768168,-189595.369622478,-1895.95369622478
"17","Betula nigra",13.3680228515941,0.133680228515941,13.3680228515941,0.133680228515941,-22668.9287754271,-226.689287754271
"18","Betula papyrifera",13.3242009348256,0.133242009348256,15.6863680094392,0.156863680094392,-377058.153687293,-3770.58153687293
"19","Betula pendula",14.2164781413894,0.142164781413894,14.2182051912333,0.142182051912333,-12125.3798561761,-121.253798561761
"20","Betula pubescens",16.0963601909783,0.160963601909783,16.0970648494129,0.160970648494129,-1319.84195943069,-13.1984195943069
"21","Calocedrus decurrens",19.0585251624228,0.190585251624228,19.0585251624228,0.190585251624228,-40267.445400738,-402.67445400738
"22","Carpinus betulus",19.8421671436996,0.198421671436996,19.8444638209003,0.198444638209003,-5833.50545350776,-58.3350545350776
"23","Carpinus caroliniana",14.3316613691709,0.143316613691709,14.6674030841951,0.146674030841951,-43212.7205324443,-432.127205324443
"24","Carya alba",12.4254251597977,0.124254251597977,15.0350670210755,0.150350670210755,-212307.010873737,-2123.07010873737
"25","Carya cordiformis",11.2195128948363,0.112195128948363,14.3264392459607,0.143264392459607,-145970.051401596,-1459.70051401596
"26","Carya glabra",11.8378223128552,0.118378223128552,13.8815951392796,0.138815951392796,-298472.625328388,-2984.72625328388
"27","Carya ovata",12.3586521413343,0.123586521413343,17.0348606426192,0.170348606426192,-191096.013496881,-1910.96013496881
"28","Carya texana",13.5559327084153,0.135559327084153,13.6226112118369,0.136226112118369,-71473.4343058611,-714.734343058611
"29","Castanea sativa",16.6454322934551,0.166454322934551,16.6454322934551,0.166454322934551,-998.452354434716,-9.98452354434716
"30","Celtis laevigata",12.314313999664,0.12314313999664,12.314313999664,0.12314313999664,-74950.1388423254,-749.501388423254
"31","Celtis occidentalis",11.6637975342061,0.116637975342061,11.8285228455405,0.118285228455405,-90943.4077114969,-909.434077114969
"32","Cornus florida",13.4462721557147,0.134462721557147,14.5723418889493,0.145723418889493,-47796.4785388864,-477.964785388864
"33","Diospyros virginiana",11.2870754775046,0.112870754775046,11.3064080153915,0.113064080153915,-44759.7255293006,-447.597255293006
"34","Fagus grandifolia",17.4267516869164,0.174267516869164,23.0993029350512,0.230993029350512,-159555.769539497,-1595.55769539497
