"","X","species","mat.low","mat.high","mat","map.low","map.high","map","tmin.low","tmin.high","tmin","etp.low","etp.high","etp","la","sla","ssd","sm","mean_ldmc","min_ldmc","max_ldmc","shade_tol_mean","shade_tol_sd","group","new_gp"
"1",1,"Abies alba",4,11.8,8.27708027247228,563,1779,1048.6302479854,-8.7,2.1,-3.27152842705133,49.87,83.921,66.0260626418116,57.841588024758,6.12722987249405,0.389097104071429,61.477,0.522390793828887,0.0542857142857143,0.89793023255814,4.6,0.06,"D","gymno"
"2",2,"Abies amabilis",2.2975,10.7,6.19888888888889,754.85,3388,2168.29444444444,-8.8075,4.60749999999999,-3.17,50.64975,76.99125,62.5602777777778,NA,NA,0.42,39.0578603333333,NA,NA,NA,4.21,0.37,"D","gymno"
"3",3,"Abies balsamea",1.8,8.4,5.8973908802731,580.5,1565,1015.41404535479,-20.4,-6.6,-12.216825164594,56.8085,79.2055,66.7391006580551,34.20275482,7.288423425,0.396606928333333,7.6215572,0.6452,0.6452,0.6452,5.01,0.09,"D","gymno"
"4",4,"Abies concolor",4.7,13,8.17417702999268,229.15,1332.5,582.46671543526,-11.9,0.184999999999991,-5.925237746891,49.7735,122.77275,88.6931725146199,52.525,5.43963303688103,0.3901515625,30.7752957592593,0.452686206896552,0.391805,0.6129,4.33,0.28,"D","gymno"
"5",5,"Abies grandis",6.3,13.2,9.50163111668758,517,1901.25,952.075700543706,-6.6,6.125,-0.155876202425763,51.52475,86.6005,66.9050501253133,93.66,8.915,0.445649445,20.8285004444444,0.3455,0.309875,0.381125,4.01,0.19,"D","gymno"
"6",6,"Abies lasiocarpa",-2.9,6.9925,2.17847682119205,281,3023.8,1074.05463576159,-18.7,-3.7075,-10.6675496688742,43.71525,91.49,65.5781622516556,77.2491181666667,3.93791596419444,0.372492532694444,16.8208648020833,0.50828275862069,0.45645,0.61532,4.83,0.15,"D","gymno"
"7",7,"Abies magnifica",3.18,8.42,5.44513274336283,321.2,1785.8,992.398230088496,-10.82,-4.74,-8.49203539823009,76.412,105.446,91.7180530973451,NA,NA,0.42,69.6032676492063,NA,NA,NA,3.5,0.22,"D","gymno"
"8",8,"Acer campestre",7.7,14,10.3758263959037,549,1343,817.426707072114,-4.9,3.6,-0.0410533282245986,57.07,88.07175,69.9828728217741,2935.15032727273,18.2251401839731,0.585676279166667,53.164108561086,0.360046770212743,0.28,0.441,3.18,0.14,"A","angio"
"9",9,"Acer negundo",2.6,18.9,10.7612900326553,376,1275.55,752.397615267084,-19.7,6.4,-3.48686299769316,51.42,114.54,77.1006292491539,3600.09388174883,25.5583750493438,0.462,26.0133746990741,0.295936339017402,0.19642857143,0.437918707423967,3.47,0.1,"A","angio"
"10",10,"Acer opalus",4.4,13.5,9.47453896490184,612,1565.85,1027.46936347412,-8,2.3,-2.55506642871307,59.063,96.5555,76.5605709754163,4125.8348,18.9821318510477,0.3222238125664,72.6718518518519,NA,NA,NA,3.48,0.1,"A","angio"
