"","species","a1_h_mean","a2_h_mean","ci_h_mean","a1_h_sd","a2_h_sd","ci_h_sd","a1_rcd_mean","a2_rcd_mean","ci_rcd_mean","a1_rcd_sd","a2_rcd_sd","ci_rcd_sd","a1_cd_mean","a2_cd_mean","ci_cd_mean","a1_cd_sd","a2_cd_sd","ci_cd_sd"
"1","Abies alba",1.64396778528911,0.697471825976283,0.00780833830457899,0.0437613395625113,0.00652984395035928,0.000439752988495558,-0.482126061663884,0.00874661646463672,0.00981129215726776,0.346093649162451,0.00531841120055366,0.00554361850542167,3.20841623273535,0.143254645441635,-0.00668803283572509,1.5837979863578,0.108173588413678,0.0179893421561025
"2","Abies balsamea",1.50832156448176,0.718879656850338,0.00965831953880829,0.0359192059800576,0.00716128384367117,0.000331654170812287,0.726759592726056,-0.0119651358594329,-0.0233585640886722,0.0490572423882406,0.00179666784502674,0.00113651354813378,0.883999239179973,0.542110875464546,-0.00372662055149697,0.338135568310126,0.116127971817127,0.00333998126349946
"3","Abies concolor",0.769111949336792,0.850533073809138,0.00515887924504782,0.0271177926860971,0.00798348150596039,0.000308632688537962,0.89595392486882,-0.00596627621742048,-0.0146799654341154,0.0524427650484049,0.000660010438700343,0.000964629503603437,1.48351357669016,0.335675910967107,0.0456981583091155,1.60748577337385,0.188007005583479,0.144593761782264
"4","Abies grandis",1.36744102649907,0.749886730066393,0.00771974692462886,0.055692206641359,0.00964792492749465,0.000485817562751249,0.852974046890047,-0.00538483664977242,-0.0166382971510544,0.0647081581957555,0.000874607128592808,0.00128610826551104,1.32974231074122,0.427285138795333,-0.00183900660225492,0.511264600927818,0.101085585674034,0.00354956554208671
"5","Abies lasiocarpa",1.16590588419365,0.783127825151095,0.00533978719489704,0.0486776657724037,0.0110854030111132,0.000442039033887246,0.920341254084555,-0.00404553266050113,-0.0138059372751792,0.0585191698231124,0.0013339663511883,0.00129701261215115,0.595042316963653,0.534527175590988,-0.00015214835252395,0.168569403645514,0.0824265445360083,0.000860135509927652
"6","Acer rubrum",2.94435416476594,0.544097675873982,0.0180396192540964,0.0446766773081439,0.00415303540001215,0.000500195774342885,-0.302627367295741,-0.00114411492881967,-0.00990882143223876,0.0194009521724322,0.000476696903827089,0.000508517385986402,1.02874108914707,0.572574981307858,0.00249803976839944,0.240066133275858,0.0589528465700729,0.00228468173599599
"7","Acer saccharum",3.49235045745986,0.504953321303875,0.0175341314140541,0.0567739319995868,0.00431646669597884,0.000720973613306689,-0.212655183914797,-0.000691212787897791,-0.00860456365023509,0.0228779499664145,0.00053700677515145,0.0006696709451302,1.59937911369038,0.468926281910968,-0.00168573865363046,0.443852506771764,0.0754588028011128,0.00488293822433996
"8","Betula papyrifera",3.19372759234294,0.500897116830595,0.0220359452775012,0.0892453818589505,0.00785093665649997,0.0010349414804298,-0.268294987396159,-0.00349445921974766,-0.0149389243124447,0.0433537159260272,0.00126574945548313,0.00107678527347211,0.647657418711498,0.706163972732893,-0.00171254493465968,0.239701291429073,0.109497382954675,0.00306093433498434
"9","Betula pendula",3.98138664300858,0.46757074771032,0.0147472088010135,0.0864441980395812,0.0061151565780633,0.00156256938156203,0.350299908044303,-0.0120529671724549,-0.00805391149379825,0.453537945385059,0.0114321609631861,0.0100991183242312,0.751643504470023,0.614083176048264,-0.00147028258384596,0.459496616392289,0.14127993856379,0.0181979000231504
"10","Carya alba",1.78216057502201,0.710951528447989,0.0129053282114461,0.0735920774156607,0.0111274259732903,0.00100582829268359,-0.184820802512218,-0.0029277222170858,-0.00939089891130592,0.0506660246074804,0.00120351711280493,0.00159900567591124,0.723135603096823,0.744391361765944,-0.00132901778522912,0.368549009355844,0.152093123537459,0.00539260369200638
