"","species","hmax","height_15","height_30","ratio_15","ratio_30","diameter_15","diameter_30","depth_15","depth_30","new_gp","volume_15","volume_30","short_names"
"1","Acer pseudoplatanus",31.9938363132955,14.9101872162757,21.054748847407,0.48722207474394,0.520167088268105,4.06656000977653,5.52661668799514,7.26457235033443,10.951987402172,"angio",62.9017961400679,175.1500420907,"Ac pse"
"2","Acer rubrum",28.3240262658885,14.2748482123084,20.1398624818933,0.383565260082044,0.405686927058607,5.20095371204022,2.91434630771907,5.47533586718577,8.17047892166224,"angio",77.5488504297109,36.335274916566,"Ac rub"
"3","Acer saccharum",26.0075524633642,14.858980764047,20.8675810476887,0.408626873450415,0.425568821461424,5.48030320127737,3.15939061008589,6.07177885227238,8.88059187321564,"angio",95.482491099607,46.4138057168552,"Ac sac"
"4","Alnus rubra",31.7688772720922,14.4066397081377,21.8513721133737,0.38963039214373,0.434244467512199,4.49267352963445,7.0634339431511,5.61326467895513,9.48883744778288,"angio",59.3231036875258,247.88109456934,"Al rub"
"5","Betula papyrifera",19.8806852045223,13.7775714868941,18.5965100172548,0.37404453770526,0.405563994340387,4.0960430670786,8.40615632525499,5.15342535751646,7.5420748833889,"angio",45.2713703858056,279.051516243484,"Be pap"
"6","Betula pendula",24.7655111605113,14.9132747057936,20.6807917892937,0.495634109913182,0.478082275447606,3.98747057928409,7.98938103452644,7.39152763469678,9.88711999668369,"angio",61.5357942839883,330.441584496779,"Be pen"
"7","Carpinus betulus",25.7245738062166,14.8465720914804,20.3297612173858,0.606411706975691,0.596741487465924,6.15654590037633,11.5370434169825,9.00313512473227,12.1316119486898,"angio",178.676169793172,845.485543994173,"Ca bet"
"8","Carya alba",33.7407880107356,13.5991615773027,21.7411362716361,0.408171228924068,0.425862912176586,4.99097857544598,7.63600490421907,5.55078649334463,9.25874360666695,"angio",72.3976644963506,282.672185942913,"Ca alb"
"9","Carya glabra",31.4745591242177,14.4126040654763,23.0742049279906,0.38839368020012,0.403480956675549,4.63194342530956,12.3890755140784,5.59776433425757,9.31000227887334,"angio",62.8839372373203,748.21465402019,"Ca gla"
"10","Castanea sativa",16.3474331965497,12.5329615229364,16.6370390633882,0.534856812739303,0.592198271987191,5.17622064976486,1.03327012206621,6.70333985434208,9.85242578432186,"angio",94.0406067708571,5.50769062793436,"Ca sat"
