"","(Intercept)","h_nocomp","rep_diam","rep_height","rep_ratio","df","logLik","AICc","delta","weight","cond","order"
"6",2.83219861578644,0.289687547798541,NA,2.02077399290932,NA,4,18.7958214764516,-28.0531814144416,0,0.429123127300528,"codominance","angio"
"8",2.98200077156863,0.303618999984091,0.546269453824557,2.16728105989651,NA,5,19.9235502359294,-27.4471004718588,0.606080942582807,0.316937126941461,"codominance","angio"
"14",2.80410700126444,0.289369499018135,NA,2.0684026420899,0.105158130087234,5,18.8149113484194,-25.2298226968388,2.82335871760279,0.104591734556435,"codominance","angio"
"16",3.00675910060563,0.304179530435641,0.558780344518781,2.13447617228984,-0.0798373396752179,6,19.9347673248754,-24.3695346497509,3.68364676469069,0.0680280762116442,"codominance","angio"
"2",0.955119184521212,0.263737392375892,NA,NA,NA,3,15.1607857863225,-23.4326826837562,4.62049873068539,0.0425846782220281,"codominance","angio"
"4",0.964894119416115,0.272326934057218,0.389392808136361,NA,NA,4,15.6131089251618,-21.6877563118621,6.36542510257947,0.0177970254980556,"codominance","angio"
"10",1.21756488191319,0.267110531828935,NA,NA,-0.381542667063446,4,15.3847410764063,-21.2310206143511,6.8221608000905,0.014163432792422,"codominance","angio"
"12",1.35179722318589,0.279563808985147,0.493556527840518,NA,-0.55867700145822,5,16.0780036509431,-19.7560073018862,8.29717411255537,0.00677444084661835,"codominance","angio"
"1",1.08808647187399,NA,NA,NA,NA,2,1.4375694572813,1.55343251400883,29.6066139284504,1.59803906866914e-07,"codominance","angio"
"5",1.67292596593604,NA,NA,0.625252259956246,NA,3,1.57459278804759,3.73970331279372,31.7928847272353,5.35605121055001e-08,"codominance","angio"
"3",1.07987913417588,NA,-0.226569892351154,NA,NA,3,1.50324334118683,3.88240220651523,31.9355836209568,4.98721452391429e-08,"codominance","angio"
"9",1.01803126326001,NA,NA,NA,0.101190322676554,3,1.44412781919185,4.00063325050518,32.0538146649468,4.70093779785094e-08,"codominance","angio"
"7",1.63799227690079,NA,-0.202902279855932,0.59576251561788,NA,4,1.62740160992844,6.28365831860465,34.3368397330462,1.50117702872545e-08,"codominance","angio"
"13",1.59751534090743,NA,NA,0.763485143503075,0.295689097821777,4,1.62443102608105,6.28959948629943,34.342780900741,1.49672427340775e-08,"codominance","angio"
"11",0.953478340942451,NA,-0.255027664079436,NA,0.181088943058394,4,1.5233067365867,6.49184806528814,34.5450294797297,1.35277036626141e-08,"codominance","angio"
"15",1.53314706608527,NA,-0.255274349362729,0.763810689316768,0.375747936401344,5,1.70469418391324,8.99061163217351,37.0437930466151,3.87814878468706e-09,"codominance","angio"
"161",-0.974058409840156,0.0142432003004685,0.067106838343274,0.0704540588861083,0.0340008182890221,6,59.0509954011309,-102.601990802262,0,0.548712708359284,"suppressed","angio"
"151",-0.970424852948491,NA,0.0627676228732856,0.0785751603808038,0.0503514518367119,5,56.9655259597671,-101.531051919534,1.07093888272759,0.321213356162956,"suppressed","angio"
"81",-0.98803399081369,0.0244806577278685,0.0688357433531729,0.0587896896005203,NA,5,56.0291961355145,-99.6583922710289,2.94359853123292,0.125936238980383,"suppressed","angio"
"41",-0.934960530745413,0.0266327945112945,0.0609182250949634,NA,NA,4,50.603801180192,-91.6691408219224,10.9328499803395,0.00231903236466575,"suppressed","angio"
"121",-0.923066918243768,0.0218714015271569,0.0593167011464416,NA,0.0165019106136557,5,51.1101461400981,-89.8202922801961,12.7816985220657,0.000920098769651668,"suppressed","angio"
"71",-0.996142850962499,NA,0.0596219804816862,0.065387381026121,NA,4,49.3868288728824,-89.2351962073032,13.3667945949586,0.000686724358041204,"suppressed","angio"
"111",-0.907500796557224,NA,0.0507455410364884,NA,0.0399602531520212,4,48.0681954615524,-86.5979293846433,16.0040614176185,0.000183699188525438,"suppressed","angio"
"31",-0.937325785859529,NA,0.0498182938322402,NA,NA,3,44.8375601161378,-82.7862313433866,19.8157594588752,2.73153975002015e-05,"suppressed","angio"
