"","species","short_name"
"1","Abies alba","Ab al"
"2","Abies balsamea","Ab ba"
"3","Abies concolor","Ab co"
"4","Abies grandis","Ab gr"
"5","Abies lasiocarpa","Ab la"
"6","Acer pseudoplatanus","Ac ps"
"7","Acer rubrum","Ac ru"
"8","Acer saccharum","Ac sa"
"10","Betula papyrifera","Be pa"
"11","Betula pendula","Be pe"
"12","Carpinus betulus","Ca be"
"13","Carya alba","Ca al"
"14","Carya glabra","Ca gl"
"15","Castanea sativa","Ca sa"
"16","Fagus grandifolia","Fa gr"
"17","Fagus sylvatica","Fa sy"
"18","Fraxinus americana","Fr am"
"19","Fraxinus excelsior","Fr ex"
"20","Fraxinus nigra","Fr ni"
"21","Fraxinus pennsylvanica","Fr pe"
"22","Juniperus virginiana","Ju vi"
"23","Larix decidua","La de"
"24","Liquidambar styraciflua","Li st"
"25","Liriodendron tulipifera","Li tu"
"27","Nyssa sylvatica","Ny sy"
"28","Oxydendrum arboreum","Ox ar"
"29","Picea abies","Pi ab"
"30","Picea mariana","Pi ma"
"31","Pinus contorta","Pi co"
"33","Pinus elliottii","Pi el"
"34","Pinus nigra","Pi ni"
"35","Pinus pinaster","Pi pi"
"36","Pinus ponderosa","Pi po"
"37","Pinus resinosa","Pi re"
"38","Pinus strobus","Pi st"
"39","Pinus sylvestris","Pi sy"
"40","Pinus virginiana","Pi vi"
"41","Populus tremuloides","Po tr"
"42","Prunus serotina","Pr se"
"43","Pseudotsuga menziesii","Ps me"
"44","Quercus alba","Qu al"
"46","Quercus coccinea","Qu co"
"47","Quercus faginea","Qu fa"
"48","Quercus falcata","Qu fa"
"49","Quercus ilex","Qu il"
"50","Quercus macrocarpa","Qu ma"
"51","Quercus michauxii","Qu mi"
"52","Quercus nigra","Qu ni"
"53","Quercus petraea","Qu pe"
"54","Quercus robur","Qu ro"
"55","Quercus rubra","Qu ru"
"56","Quercus stellata","Qu st"
"57","Quercus velutina","Qu ve"
"58","Robinia pseudoacacia","Ro ps"
"59","Thuja occidentalis","Th oc"
"60","Tilia americana","Ti am"
"61","Tsuga canadensis","Ts ca"
"62","Tsuga heterophylla","Ts he"
"63","Ulmus americana","Ul am"
